# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
,от,ОТ,PR,,,", прятались _от_ охранников , было",т,о,,,,,PR,ОТ,PR,Т
,охранников,ОХРАННИК,S m anim acc pl,,,", прятались от _охранников_ , было хорошо",в,о,к,и,н,н,S,ОХРАННИК,S m anim acc pl,К
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,было,БЫТЬ,V ipf act praet sg indic n -,,,"от охранников , _было_ хорошо .",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
,хорошо,ХОРОШО,ADV -,,,"охранников , было _хорошо_ .",о,ш,о,р,о,х,ADV,ХОРОШО,ADV -,О
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2813,,,,,,,,,,,,,,,,
,Не,НЕ,PART,,,".   _Не_ всем , мне",е,н,,,,,PART,НЕ,PART,Е
,всем,ВСЕ,S - - dat pl,,,"Не _всем_ , мне -",м,е,с,в,,,S,ВСЕ,S - - dat pl,Е
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,мне,Я,SPRO sg 1p - dat,,,"Не всем , _мне_ - определённо да",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
,-,-,PUNCT,,,,,,,,,,PUNCT,,,
,определённо,ОПРЕДЕЛЕННО,ADV -,,,", мне - _определённо_ да .",о,н,н,ё,л,е,ADV,ОПРЕДЕЛЕННО,ADV -,О
,да,ДА,PART,,,мне - определённо _да_ .,а,д,,,,,PART,ДА,PART,А
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2814,,,,,,,,,,,,,,,,
,Концерт,КОНЦЕРТ,S m inan nom sg,,,.   _Концерт_ показался сначала довольно,т,р,е,ц,н,о,S,КОНЦЕРТ,S m inan nom sg,Т
,показался,ПОКАЗАТЬСЯ,V pf act praet sg indic m -,,,Концерт _показался_ сначала довольно посредственным,я,с,л,а,з,а,V,ПОКАЗАТЬСЯ,V pf praet sg indic m -,Я
,сначала,СНАЧАЛА,ADV -,,,Концерт показался _сначала_ довольно посредственным .,а,л,а,ч,а,н,ADV,СНАЧАЛА,ADV -,А
,довольно,ДОВОЛЬНО,ADV -,,,Концерт показался сначала _довольно_ посредственным .,о,н,ь,л,о,в,ADV,ДОВОЛЬНО,ADV -,О
,посредственным,ПОСРЕДСТВЕННЫЙ,A - ins sg plen m -,,,показался сначала довольно _посредственным_ .,м,ы,н,н,е,в,A,ПОСРЕДСТВЕННЫЙ,A - ins sg plen m -,Й
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2815,,,,,,,,,,,,,,,,
,Ну,НУ,PART,,,".   _Ну_ , группа """,у,н,,,,,PART,НУ,PART,У
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,группа,ГРУППА,S f inan nom sg,,,"Ну , _группа_ "" Градусы """,а,п,п,у,р,г,S,ГРУППА,S f inan nom sg,А
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,Градусы,ГРАДУС,S m inan nom pl,,,", группа "" _Градусы_ "" , она",ы,с,у,д,а,р,S,ГРАДУС,S m inan acc pl,С
,	,PUNCT,,,,,,,,,,PUNCT,,,,
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,она,ОНА,SPRO sg 3p f nom,,,"Градусы "" , _она_ на меня никогда",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
,на,НА,PR,,," , она _на_ меня никогда хорошего	а	н					PR	НА	PR	А
	меня	Я	SPRO sg 1p - acc			, она на _меня_ никогда хорошего впечатления	я	н	е	м			SPRO	Я	SPRO sg 1p - acc	Я
	никогда	НИКОГДА	ADV -			она на меня _никогда_ хорошего впечатления не	а	д	г	о	к	и	ADV	НИКОГДА	ADV -	А
	хорошего	ХОРОШИЙ	A - gen sg plen n -			на меня никогда _хорошего_ впечатления не производила	о	г	е	ш	о	р	A	ХОРОШИЙ	A - gen sg plen n -	Й
	впечатления	ВПЕЧАТЛЕНИЕ	S n inan gen sg			меня никогда хорошего _впечатления_ не производила ,	я	и	н	е	л	т	S	ВПЕЧАТЛЕНИЕ	S n inan gen sg	Е
	не	НЕ	PART			никогда хорошего впечатления _не_ производила , вчера	е	н					PART	НЕ	PART	Е
	производила	ПРОИЗВОДИТЬ	V ipf act praet sg indic f -			хорошего впечатления не _производила_ , вчера не	а	л	и	д	о	в	V	ПРОИЗВОДИТЬ	V ipf praet sg indic f -	Ь
	,	,	PUNCT										PUNCT			
	вчера	ВЧЕРА	ADV -			не производила , _вчера_ не произвела и	а	р	е	ч	в		ADV	ВЧЕРА	ADV -	А
	не	НЕ	PART			производила , вчера _не_ произвела и вряд ли	е	н					PART	НЕ	PART	Е
	произвела	ПРОИЗВЕСТИ	V pf act praet sg indic f -			, вчера не _произвела_ и вряд ли произведёт	а	л	е	в	з	и	V	ПРОИЗВЕСТИ	V pf praet sg indic f -	И
	и	И	CONJ			вчера не произвела _и_ вряд ли произведёт 	и						CONJ	И	CONJ	И
	вряд ли	вряд ли	ADV -			не произвела и _вряд ли_ произведёт  какда-либо	и	л	 	д	я	р	ADV	вряд ли	ADV -	и
	произведёт	ПРОИЗВЕСТИ	V pf act fut sg indic - 3p			произвела и вряд ли _произведёт_  какда-либо 	т	ё	д	е	в	з	V	ПРОИЗВЕСТИ	V pf fut sg indic - 3p	И
<distinct form=",,,,,,,,,,
<dist>,какда-либо,,,,,,,,,,,,,,,
">																
	когда-либо	КОГДА-ЛИБО	ADV -			 какда-либо  _когда-либо_  ещё .	о	б	и	л	-	а	ADV	КОГДА-ЛИБО	ADV -	О
</distinct>																
	ещё	ЕЩЕ	ADV -			 когда-либо  _ещё_ .  	ё	щ	е				ADV	ЕЩЕ	ADV -	Е
	.	.	PUNCT										PUNCT			
																
# sent = 2816																
	Было	БЫТЬ	V ipf act praet sg indic n -			.   _Было_  скушна 	о	л	ы	б			V	БЫТЬ	V ipf praet sg indic n -	Ь
<distinct form=",,,,,,,,,,,,,,,,
<dist>,скушна,,,,,,,,,,,,,,,
